customer_id,age,annual_income,loan_amount,loan_purpose,credit_score,transaction_count,spending_ratio,default_flag
CUST001,24.0,325717.2,190048.17,Home,625.0,105,62.89,0
CUST002,50.0,336131.76,295795.09,Business,707.0,49,31.4,0
CUST003,45.0,179537.36,111123.85,Other,660.0,235,45.96,0
CUST004,37.0,413197.23,170131.2,Business,667.0,166,53.1,1
CUST005,37.0,283165.26,201232.36,Education,696.0,209,47.18,1
CUST006,,354206.53,232512.5,Business,723.0,182,54.77,1
CUST007,24.0,1850000.0,132110.37,Home,664.0,73,23.06,0
CUST008,47.0,425240.31,252376.1,Home,751.0,66,71.44,1
CUST009,28.0,211452.16,123863.99,Home,835.0,65,50.0,0
CUST010,24.0,,141866.24,Car,685.0,194,30.27,0
CUST011,41.0,1081958.94,678136.5,Business,846.0,124,58.11,0
CUST012,58.0,257630.72,206784.59,Education,699.0,105,92.5,0
CUST013,,279106.88,147988.2,Business,774.0,203,15.62,0
CUST014,49.0,956947.38,950000.0,Home,691.0,133,77.38,0
CUST015,48.0,1498729.36,,Business,721.0,192,66.02,0
CUST016,50.0,270476.91,174098.43,Home,681.0,207,20.6,0
CUST017,40.0,379016.66,218041.48,Home,674.0,33,34.78,0
CUST018,25.0,510656.96,396061.33,Education,637.0,87,35.3,0
CUST019,52.0,914427.08,931318.87,Other,,158,42.41,1
CUST020,38.0,292295.35,271714.96,Education,632.0,174,32.64,0
CUST021,40.0,399106.39,406475.07,Home,726.0,46,36.24,0
CUST022,35.0,613221.68,471063.69,Education,752.0,79,68.76,0
CUST023,27.0,531044.85,451080.31,Home,708.0,123,33.86,0
CUST024,,377760.04,242373.27,Business,667.0,171,34.49,0
CUST025,50.0,418233.16,380812.69,Education,713.0,39,25.61,0
CUST026,45.0,248337.44,77201.32,Home,666.0,133,17.26,0
CUST027,36.0,400298.99,382930.78,Home,,74,31.65,1
CUST028,52.0,2400000.0,398747.87,Home,571.0,59,22.57,0
CUST029,41.0,487727.12,194559.66,Other,664.0,116,55.08,0
CUST030,37.0,350376.15,308956.92,Car,562.0,97,31.63,0
CUST031,38.0,,166785.09,Business,592.0,140,65.82,0
CUST032,29.0,676941.84,594416.59,Education,770.0,78,19.81,0
CUST033,24.0,472257.81,138124.43,Education,345.0,176,41.98,1
CUST034,42.0,512849.49,546900.15,Home,640.0,32,30.42,0
CUST035,54.0,452401.46,188668.15,Other,592.0,183,53.38,0
CUST036,23.0,442429.07,,Home,501.0,23,68.46,0
CUST037,53.0,326748.36,324130.68,Education,651.0,159,62.92,0
CUST038,52.0,505310.11,377051.41,Education,835.0,84,43.57,0
CUST039,31.0,424700.56,366505.67,Education,712.0,91,39.86,0
CUST040,45.0,1065687.5,1036560.1,Other,650.0,21,30.59,0
CUST041,27.0,856670.86,1200000.0,Home,714.0,152,59.32,0
CUST042,,520245.22,268622.29,Car,588.0,49,51.21,0
CUST043,47.0,321102.6,267387.06,Car,667.0,144,44.15,0
CUST044,34.0,277281.13,103056.22,Car,691.0,157,41.05,1
CUST045,23.0,729620.66,609099.67,Home,680.0,180,88.2,0
CUST046,57.0,494031.56,216076.92,Home,734.0,153,33.94,0
CUST047,37.0,541262.81,427129.23,Home,706.0,75,27.85,0
CUST048,54.0,212622.57,152739.33,Home,,159,26.29,0
CUST049,46.0,653125.23,444423.65,Car,642.0,176,29.14,0
CUST050,50.0,535446.65,396929.08,Education,741.0,78,33.91,0
CUST051,49.0,277511.91,276910.97,Education,786.0,260,20.85,1
CUST052,28.0,362927.94,346891.85,Car,625.0,188,19.57,1
CUST053,34.0,494232.45,359383.23,Car,630.0,46,39.66,0
CUST054,38.0,,357775.99,Home,768.0,132,22.99,0
CUST055,39.0,391322.81,424494.79,Education,673.0,63,36.05,1
CUST056,22.0,423595.78,177663.38,Home,772.0,42,31.94,1
CUST057,41.0,397984.96,116107.45,Home,658.0,167,42.59,0
CUST058,26.0,471689.52,144729.7,Car,775.0,45,33.94,0
CUST059,49.0,820793.33,672916.52,Car,693.0,146,42.03,0
CUST060,46.0,150542.91,54973.03,Home,701.0,151,26.36,0
